iter,score,sil_mu,sil_sd,dunn_mu,dunn_sd,dbi_mu,dbi_sd,contamination,nu,kernel,gamma,degree,coef0,use_pca,pca_var,scaler
41,-1.0040105006351856,0.2898363330494569,0.0,0.012090631258861952,0.0,8.066123943896807,0.0,0.03,0.055789074318878085,sigmoid,auto,3,1.0,True,0.98,standard
30,-1.0425912845405687,0.26242555551804464,0.0,0.02056332481729837,0.0,8.209533364050165,0.0,0.05,0.037919448759401765,rbf,auto,2,1.0,True,0.95,standard
3,-1.043300780300678,0.2792932373618636,0.0,0.03034218178406385,0.0,8.309277279333322,0.0,0.02,0.013754617553687601,rbf,auto,3,0.0,False,0.98,standard
47,-1.0462032204617637,-0.22602195640141295,0.0,0.019403346101585683,0.0,5.952257916707808,0.0,0.03,0.03406356809566082,poly,auto,3,0.5,False,0.95,robust
68,-1.0577065840042175,0.16938952335661228,0.0,0.01016283986512999,0.0,7.8587997354675245,0.0,0.04,0.08656827864869573,sigmoid,scale,4,0.0,True,0.98,standard
20,-1.0996979437159462,0.28950101735121714,0.0,0.00898974482827707,0.0,8.697307280459118,0.0,0.02,0.021835567793367518,sigmoid,scale,2,1.0,True,0.98,robust
14,-1.1781954108142654,0.27362467144633107,0.0,0.02056332481729837,0.0,9.165823413540144,0.0,0.04,0.051736279878786214,rbf,auto,3,0.5,True,0.95,standard
67,-1.1813961707372573,0.2873385573642471,0.0,0.020684364087239945,0.0,9.251361679426935,0.0,0.03,0.022502397372340163,rbf,auto,2,0.5,True,0.95,robust
75,-1.1843024885408093,0.2751129822382737,0.0,0.005270803197476594,0.0,9.1879951793798,0.0,0.03,0.027862675253924718,sigmoid,scale,4,1.0,True,0.98,robust
60,-1.2116989313226556,0.3029770824547185,0.0,0.020584626041827418,0.0,9.526193637009436,0.0,0.02,0.011962410135967712,rbf,auto,4,0.0,False,0.98,robust
36,-1.3215306583356334,0.25436887316427786,0.0,0.01628132112480403,0.0,10.024394665545527,0.0,0.04,0.06429266841677109,sigmoid,scale,2,1.0,False,0.95,robust
59,-1.366054073838215,0.27254509642307556,0.0,0.013661480021567285,0.0,10.401673408931732,0.0,0.03,0.039401947136002945,sigmoid,auto,3,1.0,False,0.98,robust
51,-1.4062272718603905,0.18311805722715493,0.0,0.023075574426778104,0.0,10.26785870350729,0.0,0.03,0.011948258527044914,sigmoid,auto,2,0.0,False,0.98,standard
65,-1.5517755168956047,0.2852509072595605,0.0,0.0053898093226677985,0.0,11.68532402871976,0.0,0.03,0.06659895258164665,sigmoid,auto,3,1.0,False,0.98,standard
22,-1.5517755168956047,0.2852509072595605,0.0,0.0053898093226677985,0.0,11.68532402871976,0.0,0.03,0.06668948271185966,sigmoid,auto,3,1.0,False,0.98,standard
58,-1.5768938766673506,0.31372446326481535,0.0,0.00903775494920937,0.0,11.991736264600158,1.7763568394002505e-15,0.02,0.018740442025950457,sigmoid,auto,3,1.0,True,0.95,standard
21,-1.6267449721088312,-0.2061215788914753,0.0,0.015497728535034762,0.0,9.90889532679038,0.0,0.05,0.029479139096232267,poly,auto,2,0.0,True,0.98,standard
12,-1.7712275013206504,-0.2099083826680723,0.0,0.018381232581630505,0.0,10.859246277322717,1.7763568394002505e-15,0.05,0.04189062926071993,poly,scale,4,0.0,True,0.95,standard
10,-1.7887080235111095,-0.2094630397357816,0.0,0.019403150892295856,0.0,10.979564556127576,0.0,0.05,0.029291334810597612,poly,scale,4,0.0,True,0.95,standard
9,-1.8215087183518177,0.23297467724556667,2.7755575615628914e-17,0.005225606195964406,0.0,13.239315959818036,0.0,0.05,0.01726480861241885,sigmoid,auto,4,1.0,True,0.95,robust
32,-1.8269692893209668,0.23517091998709563,2.7755575615628914e-17,0.007499988883535185,0.0,13.28975953688545,0.0,0.05,0.06880247391729677,sigmoid,auto,3,1.0,False,0.98,robust
69,-1.8329602033282943,0.1773083322797111,0.0,0.025683374942600184,3.469446951953614e-18,13.089979197731614,0.0,0.02,0.01347882982068523,sigmoid,auto,4,0.0,False,0.98,robust
50,-1.9613141172981567,-0.20973084398002095,0.0,0.02023617324988776,0.0,12.130410465497427,0.0,0.05,0.07365329717284967,poly,auto,4,0.0,True,0.98,robust
40,-2.0683132897095593,0.260294631882779,0.0,0.010250571977745237,0.0,15.020547833479606,1.7763568394002505e-15,0.05,0.067808342884427,sigmoid,auto,3,0.5,True,0.95,standard
55,-2.1304980918509857,0.232310092940205,0.0,0.010699368427958959,0.0,15.305266660107458,1.7763568394002505e-15,0.05,0.034186158642507826,sigmoid,scale,4,0.5,False,0.95,robust
64,-2.176558123290776,0.24585538975327972,2.7755575615628914e-17,0.01628132112480403,0.0,15.684848175995151,1.7763568394002505e-15,0.04,0.06103014938092079,sigmoid,auto,3,1.0,False,0.95,robust
