FID,Building's construction year,Number of floors,Number of apartments,Total electricity consumption (kWh),Latitude,Longitude,Area in m^2
1115,2005,10,12,90.9789999999999,35.52377972,33.88399855,230.513147486999
1116,1940,8,12,88.081,35.5202061,33.8817141199999,284.863611273999
1117,1920,2,2,6.429,35.5205794999999,33.8830934699999,152.831278169999
1118,1950,4,4,30.768,35.5209753999999,33.88297344,202.532573662999
1119,1940,4,4,71.2609999999999,35.52019262,33.8830597299999,137.213753776999
1120,1920,3,3,3.298,35.5203510699999,33.88294213,163.332119629
1121,1950,4,4,39.149,35.5208526999999,33.88295402,110.892327313999
1122,1950,2,2,59.463,35.52137761,33.8769978099999,230.777096171
1123,1960,6,14,131.875,35.5205508499999,33.87640795,297.289041532999
1124,1940,1,2,7.113,35.5207156199999,33.8762602899999,164.164554511
1125,1950,2,2,5.549,35.5208495099999,33.87638821,185.353803066
1126,1960,3,4,35.673,35.52095862,33.8764752599999,188.221545260999
1127,1950,5,10,31.827,35.52736781,33.88454713,223.7264289
1128,1950,3,2,30.0,35.52639675,33.8842186099999,128.506220939
1129,1950,7,14,40.904,35.5265467799999,33.88424543,165.004488885999
1130,1940,4,4,23.204,35.5268413599999,33.88430025,144.306722914999
1131,1940,2,2,17.0,35.52651917,33.8843985199999,181.241982331
1132,1940,2,2,12.978,35.52664171,33.88442624,109.447374174
1133,1940,3,6,16.6879999999999,35.52679297,33.8844582999999,150.361641346999
1134,1940,4,8,52.34,35.52692944,33.88444451,224.662022353999
1135,1940,3,6,14.801,35.5263664699999,33.8845028,111.303773097
1136,1940,3,4,51.901,35.5265867,33.8845873699999,185.273596472
1137,1940,3,3,8.46299999999999,35.52685712,33.8846169799999,114.350838087
1138,1940,2,4,17.4899999999999,35.5270176699999,33.88464965,204.994363413999
1139,1950,5,10,41.9579999999999,35.5266496899999,33.8847190999999,165.271005546999
1140,1950,4,8,18.555,35.5268073,33.8847535299999,125.992621497
1141,1950,5,10,23.0159999999999,35.52697632,33.8847778499999,136.946284566999
1142,1950,6,12,61.255,35.5272526999999,33.88477034,339.368605301
1143,1990,12,10,62.9149999999999,35.52776793,33.88481669,256.131195290999
1144,1970,9,20,88.647,35.52773019,33.88419203,283.879155809999
1145,1990,10,20,55.929,35.5271350599999,33.8837698999999,242.072398902
1146,1980,9,9,62.9089999999999,35.5273178599999,33.88364965,212.220548248999
1147,1980,7,8,30.3279999999999,35.5274984799999,33.8836033999999,275.699021974999
1148,1980,9,18,120.424,35.52762392,33.8834693399999,319.69960178
1149,1980,9,10,37.63,35.52763969,33.8833041099999,231.284825893999
1150,1980,7,14,88.971,35.5276546999999,33.88314941,211.768473255999
1151,1980,2,8,75.6359999999999,35.52814723,33.8824610799999,128.169456588999
1152,1950,3,2,9.804,35.52419786,33.8813851,141.597332493
1153,1950,3,3,19.3679999999999,35.5240781299999,33.88134789,138.764701231999
1154,1950,2,2,9.02999999999999,35.52406107,33.88147198,120.823078871999
1155,1960,8,9,31.558,35.52390959,33.88362937,120.756155758999
1156,1970,8,21,31.9209999999999,35.5236683099999,33.8835197699999,160.640433481999
1157,1970,11,10,63.3969999999999,35.5238741499999,33.88291592,174.241203557999
1158,1970,9,18,102.564999999999,35.52370049,33.8829150999999,289.230275215
1159,1970,11,10,391.011,35.52352312,33.88286884,193.821482403
1160,1960,7,7,3.837,35.5241356499999,33.88345249,213.132072185999
1161,1950,6,14,92.3259999999999,35.5248892899999,33.8839385699999,396.113405345999
1162,1960,9,18,96.287,35.52503894,33.88353729,329.028792708
1163,1950,4,7,17.8189999999999,35.5237564099999,33.88169362,154.054444098
1164,2000,10,8,236.239,35.5242227199999,33.88226764,308.786511577999
1165,1990,9,17,109.301,35.52387593,33.8824157199999,302.613068992
1166,2000,11,10,427.052,35.5242244399999,33.88209543,222.145741944999
1167,2000,12,13,581.682999999999,35.52400982,33.88215428,221.149123347999
1168,1960,8,16,76.272,35.52367601,33.88239121,254.909702892
1169,1970,10,18,122.251999999999,35.5247059599999,33.8817976699999,300.721554019999
1170,1990,11,18,46.6809999999999,35.52480679,33.88206275,290.736397192
1171,1970,13,25,194.709,35.52561259,33.8845953399999,351.132215432
1172,1961,9,19,96.1449999999999,35.52580838,33.88465438,285.494559007
1173,1970,7,7,33.7599999999999,35.52614449,33.88496251,269.642085712999
1174,1980,10,10,57.7419999999999,35.52591137,33.8849334299999,202.973122644
1175,1950,6,12,87.3949999999999,35.52564696,33.8848758299999,364.790648551999
1176,1955,6,12,59.825,35.52580184,33.8839743799999,184.829926360999
1177,1960,6,14,85.531,35.5259239299999,33.8841168399999,226.803305362999
1178,1950,4,4,22.55,35.5245834899999,33.88582813,164.072464582
1179,1967,3,4,23.0799999999999,35.52477993,33.88589897,167.784824111
1180,1900,4,12,56.1839999999999,35.52441506,33.8855825699999,463.961593855999
1181,1967,6,12,35.584,35.52543613,33.88554589,280.962019424
1182,1964,8,16,118.073999999999,35.5260073899999,33.8858041599999,462.379796112
1183,1963,8,14,75.9249999999999,35.52722167,33.88612229,252.681417973
1184,1971,9,15,92.902,35.5269954199999,33.88618927,317.500271193999
1185,1970,7,8,48.401,35.52712941,33.8858992099999,323.462401962999
1186,1952,6,7,59.387,35.5269043099999,33.8856558399999,348.910812727
1187,1950,3,2,5.216,35.5267588399999,33.88492127,158.959017248
1188,1962,5,4,29.77,35.5269101199999,33.8849392699999,189.752278625
1189,1950,2,3,5.285,35.5217408,33.88072394,144.518279914
1190,1950,4,8,34.511,35.52245681,33.8814527299999,119.393815310999
1191,1950,2,3,18.8479999999999,35.5223077599999,33.88129251,129.04675879
1192,1950,4,4,8.412,35.5217791099999,33.88079941,81.7354121845999
1193,1940,1,2,4.107,35.52248723,33.88091579,73.2115269780999
1194,1940,4,9,30.597,35.52574382,33.88819585,286.225638732999
1195,1920,2,2,4.231,35.52572055,33.8879852199999,99.0114963179999
1196,1950,7,7,34.8449999999999,35.5257380199999,33.88806504,134.836701237999
1197,1920,2,2,5.256,35.52648055,33.8883759499999,78.3853129856999
1198,1950,4,8,33.1659999999999,35.52595102,33.8879041499999,189.967496731
1199,1950,4,8,26.4379999999999,35.52592405,33.8877878899999,191.528334451999
1200,1950,6,12,1.539,35.5258832999999,33.8876309999999,195.909714468
1201,1940,3,8,36.704,35.5262926699999,33.8877443599999,164.74563412
1202,1950,5,12,67.9419999999999,35.5267765199999,33.88770659,207.424349049999
1203,1950,5,14,55.802,35.52687978,33.88790757,206.688449133999
