fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
1402,0.6931471805599453,1.0986122886681098,6.888572459565364,33.8972030099999,35.5348207899999,4.2383937663788585,-0.4228999466420856,3.290718847155146,4.949107535734471,1.625279018247219,6.270248868157708,9.93810932621924,0.7764070609151131,0.7090494402376404,1,1.8494477185752651,1,0.003005373040105826,0,820.0102994639296,1,0.8847610380293206,1,4.6450111924844855,1,0.9841856060606059,1
1258,1.6094379124341005,1.6094379124341005,6.234410725718371,33.8886643499999,35.5295903399999,4.032087451640165,-1.1924218391670918,3.290718847155146,3.8769603129053696,1.5461992827517541,3.873657180281966,3.873657180281966,0.8161328063002586,0.6780467823538879,1,2.050268847720728,1,0.0030209968034682145,0,404.1062253205278,1,0.8674874217736019,1,-1.017849206597358,1,0.9833333333333334,1
560,2.079441541679836,2.70805020110221,0.7514160886839212,33.89475491,35.4784065899999,5.909456489396374,0.4071381378692232,-2.0261758895281363,3.689014144913382,0.12715485595540363,0.27747494798216277,0.3613547549294915,-0.34287009188811235,0.657639221680948,1,1.3727778294299315,0,0.019227161228041065,1,164.0465024410524,1,0.7892651137539822,1,-3.341703734615967,1,0.9829545454545454,1
809,1.0986122886681098,1.0986122886681098,6.652863029353347,33.88929386,35.5297230899999,4.185969496520373,-1.1924218391670918,3.290718847155146,4.627025518172472,1.589324297485589,6.055696898692869,6.055696898692869,0.7861306323160231,0.6664130518459495,1,1.6712992139877643,1,0.0031806908953789558,0,645.2538521410868,1,0.8465651521774462,1,-0.2510991594177039,1,0.9825757575757575,1
1355,1.3862943611198906,1.9459101490553128,6.466144724237619,33.9008645899999,35.5283341,4.780471619459692,-0.4228999466420856,3.290718847155146,3.4939617932006253,1.3526164861885424,3.322941055308622,4.664337463663974,0.6883669874243655,0.6337575993974203,1,1.6727223695025537,1,0.004604727550084309,0,311.39805868332553,1,0.8204962106475201,1,-4.7198505759175,0,0.9821969696969696,1
529,0.6931471805599453,0.6931471805599453,3.167961406066651,33.8971046799999,35.52882155,5.4210132693519375,-8.152543360797848,1.172321229882721,1.172321229882721,0.5843854734643307,4.570402210259985,4.570402210259985,0.21625500098118516,0.6193755825450247,0,1.6412982095472508,1,0.014238331703467675,1,64.81465367293696,0,0.8198843464390515,1,-2.080228463354402,1,0.9817234848484849,1
1503,1.0986122886681098,2.3978952727983707,6.692083742506628,33.89735031,35.53473521,5.152480489612228,-0.0156274398299077,3.290718847155146,3.3754317997280077,1.2988081674444671,2.7908156867488594,6.091397130301264,0.6386669204841188,0.6105948106179647,0,1.5329938626693855,0,0.013577503393830015,1,267.33097490778493,1,0.8014982557045752,1,-5.031597161666603,0,0.9813446969696971,1
1519,0.6931471805599453,1.0986122886681098,2.2144094020903204,33.9001166299999,35.47581326,5.130497009205208,-4.421873160666376,-0.03384026735948309,0.03384026735948309,0.4316169365496553,2.0156423015938905,3.1947174628936,-0.006595904314682655,0.6037238137701907,0,2.064037006157154,1,0.01753182729168515,1,54.88102877115446,0,0.7879438119838781,1,-2.2640576545159945,1,0.9801136363636362,1
1225,2.079441541679836,0.6931471805599453,4.91305921574836,33.8874534699999,35.52871152,5.607388376792881,0.4071381378692232,1.5051163290273935,1.5051163290273935,0.876176017356294,7.088046166153979,2.3626820553846595,0.26841663674600647,0.6304682211391202,1,1.3058552964688697,0,0.025372871175403437,1,181.23409876029137,1,0.8027274319749548,1,-3.2066999234501044,1,0.9789772727272726,1
1367,1.0986122886681098,1.6094379124341005,4.535980866635092,33.8975098499999,35.5342097799999,4.082153587157697,-0.0156274398299077,2.282404284663527,2.282404284663527,1.1111734945263008,2.818363374934366,4.128827716040058,0.5591176901927174,0.6306330969764596,1,1.8763265750386964,1,0.0047550965586369105,0,146.5153678279293,0,0.8097648970904904,1,-5.947811043362138,0,0.978314393939394,1
621,1.0986122886681098,1.0986122886681098,6.261491684321042,33.8905660499999,35.4876042,4.85297321985314,-0.0156274398299077,3.290718847155146,3.6831132010708307,1.2902382520278006,5.699455348266758,5.699455348266758,0.6780830427196813,0.6501722616529615,1,1.4507360812689765,0,0.002941076490514828,0,446.1354647587634,1,0.8453219678018297,1,-2.463249056210909,1,0.9767045454545453,1
91,2.70805020110221,3.4339872044851463,2.305779983890565,33.8988567199999,35.48223799,5.757741173117037,1.77209775307598,-2.0261758895281363,2.742911906455886,0.40046607073209184,0.67145852520329,0.8514539290859836,-0.3519046495157469,0.6466260895374268,1,1.3974994551119049,0,0.005507770434086768,0,121.40877128426558,0,0.7737190620216826,1,-4.534215871016238,0,0.9758522727272726,1
