fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,copula_score,is_anomaly_copula,fused_rank,is_anomaly_fused
1167,2.5649493574615367,2.639057329615259,6.3676432991910925,33.88215428,35.52400982,5.403348883157606,2.2605583165504184,1.9511011720645293,1.9511011720645293,1.178462364153316,2.4128476587961862,2.4825610223716006,0.36109109632845804,0.5766956213598569,0,1.364649646578,0,265.9032669474916,0,11.3008879735891,0,0.975,1
1516,1.6094379124341005,2.3978952727983707,6.627710633659567,33.89927499,35.4760073699999,4.739866625416941,-0.4228999466420856,3.2803165301470054,3.3698932344568373,1.3982905337714144,2.7639700152229563,4.11802815284491,0.6920693743905618,0.6381375130766301,1,1.2236181792097989,0,1032.4960371767022,1,16.34645785315063,1,0.9740530303030304,1
1750,1.0986122886681096,0.6931471805599453,4.959426206689514,33.88883598,35.5086712,5.715133645007413,-1.1924218391670918,2.030428953994991,2.030428953994991,0.8677708195016465,7.154939594045725,4.514264274889934,0.355272348839772,0.6177266924546534,1,1.2453232398515612,0,481.46374903075576,1,13.288399741309302,1,0.9719696969696969,1
499,0.6931471805599453,1.0986122886681096,4.095027662189515,33.89872435,35.4817636699999,5.368162831559142,-0.0156274398299077,1.321771025537699,1.321771025537699,0.7628359628204767,3.7274548122468905,5.907876100543938,0.24622409323485456,0.5722064336968224,0,1.3154768035638393,0,269.9966296597888,0,8.55152412565417,0,0.9689393939393939,1
1166,2.4849066497880004,2.3978952727983707,6.05924468352894,33.88209543,35.5242244399999,5.407825109311323,2.2605583165504184,1.7759088584772682,1.7759088584772682,1.1204586984693692,2.5269013005967245,2.4384194408453466,0.32839613385785454,0.5513161003152888,0,1.3769907940418211,0,218.85759697453062,0,8.962937572385602,0,0.9681818181818181,1
139,1.3862943611198906,1.9459101490553128,5.746203190540153,33.8960800199999,35.47430511,4.986975232371374,-0.8150443270305894,2.6346445100406455,2.6346445100406455,1.1522421754253942,2.9529642945383583,4.145009423466309,0.5283051122730034,0.6120811374666394,1,1.2226933868048417,0,659.3761935636119,1,11.788977094372878,0,0.9674242424242423,1
29,0.6931471805599453,1.0986122886681096,2.9114807211064,33.8972848599999,35.47233568,5.190530959582707,-1.5553900411763233,0.3700718766308788,0.3700718766308788,0.5609215596202645,2.6501439599188368,4.200378797984026,0.07129749914074893,0.557678307816377,0,1.5325749556944441,1,123.87817349022244,0,9.55818316250029,0,0.9670454545454545,1
1159,2.4849066497880004,2.3978952727983707,5.971289900621244,33.88286884,35.52352312,5.272083664404303,0.8457654036941855,1.8822234959850688,1.8822234959850688,1.1326242678844027,2.4902213071435275,2.4030238323563116,0.35701700044962065,0.5557258456209178,0,1.2880951967137881,0,247.22869945569144,0,9.525134068974962,0,0.9640151515151516,1
87,1.791759469228055,2.3978952727983707,6.770751579156178,33.8945956399999,35.4807577099999,6.042958756005733,-0.0156274398299077,2.5153792669194903,2.5153792669194903,1.1204365034639918,2.823622722794993,3.7788284060657014,0.4162496168651832,0.5714792905123371,0,1.188191178129775,0,505.7946105809848,1,9.936139898024914,0,0.9549242424242423,1
54,2.4849066497880004,2.4849066497880004,1.8492419046414168,33.90067363,35.4873119399999,6.027595689943101,1.77209775307598,-1.945666585761657,2.858993042053763,0.30679594315306064,0.7441896880911743,0.7441896880911743,-0.32279314769037265,0.5410299054572666,0,1.2544556452420654,0,111.28498758900612,0,8.148991790952667,0,0.9433712121212121,1
