fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ae_score,is_anomaly_ae,ppca_mah_score,is_anomaly_ppca_mah,ocsvm_score,is_anomaly_ocsvm,fused_rank,is_anomaly_fused
1718,1.6094379124341005,1.6094379124341005,0.8051356825079926,35.5155419299999,33.8945157699999,4.722861051414698,0.4071381378692232,-1.9423846596717498,2.1931970938365626,0.17047625872178054,0.500258926602712,0.500258926602712,-0.4112728785637093,0.5635008473155981,1,1.409626545027255,1,0.02029678838387766,1,23.849033911313427,0,-0.2154880666416492,0,0.9103840682788051,1
1552,2.6390573296152584,3.367295829986474,4.779148702877794,35.47617403,33.8988856499999,6.0802944087471085,1.77209775307598,-0.524918046060403,0.524918046060403,0.7860061341770743,1.4192838836191566,1.8109302322638572,-0.08633102458085849,0.5663703546773539,1,1.2903067303890845,0,0.005457122582064624,0,30.989755020977135,0,0.002390386771806252,1,0.9069701280227596,1
676,2.6390573296152584,3.332204510175204,6.241709514830865,35.5119620199999,33.88979006,6.399216420106812,2.2605583165504184,0.7762359836390269,0.7762359836390269,0.9753865325165363,1.873147190027266,2.365128428544153,0.12130172394233081,0.5474558638088236,0,1.819778811595592,1,0.012097217666244062,0,11.678747717062809,0,0.00015531675606217377,1,0.9066856330014226,1
1241,0.6931471805599453,0.6931471805599453,3.56953269648137,35.52937227,33.8881709899999,4.2566007634402405,-1.1924218391670918,1.7992327010437061,1.7992327010437061,0.8385876183502883,5.149747119504682,5.149747119504682,0.4226923785047538,0.5964681881287903,1,1.234613173496907,0,0.004508057908713654,0,76.13822626199375,1,9.761299019839242e-05,1,0.9027027027027028,1
1560,1.6094379124341005,2.19722457733622,1.9255616585171844,35.47434158,33.8970768599999,5.595595457299626,-1.1924218391670918,-1.640572797956298,1.640572797956298,0.3441209560646902,0.8763608774354859,1.1964187270852722,-0.2931900296359202,0.5510661549965912,0,1.0824368924787937,0,0.018635050857101765,0,37.48017153240901,1,9.821952300059777e-05,1,0.9012802275960171,1
218,2.302585092994046,2.19722457733622,4.616703421801755,35.51474755,33.87144516,5.382069916322829,1.77209775307598,0.4930502215935544,0.4930502215935544,0.8577932828037298,2.101152276113151,2.0050088206723626,0.09160977639815189,0.5241293386750051,0,1.3120403975798378,1,0.01099757267354237,0,15.555191060292364,0,0.00036063054627000213,1,0.9004267425320057,1
641,2.302585092994046,2.5649493574615367,2.123936781566387,35.5108998899999,33.8801302299999,4.503912304312226,2.5112792420117174,-1.724242576381826,1.724242576381826,0.47157596286518394,0.8280618778642834,0.9224140241456342,-0.3828321823075834,0.6001394964282112,1,1.435897845775205,1,0.004133144728778524,0,28.799074854493107,0,0.13321013724414543,1,0.8978662873399715,1
68,1.6094379124341005,1.3862943611198906,2.487985239397598,35.48355181,33.9020354399999,5.212521884979694,-1.519731526201718,-0.4408747758947231,0.4408747758947231,0.4773093129003314,1.7947019833419275,1.5458721459063864,-0.08457993762388599,0.5016520885100003,0,1.1376206449064594,0,0.041402794293128334,1,31.890214842873185,0,-0.12221817336092311,0,0.8961593172119489,1
1356,0.6931471805599453,0.6931471805599453,0.9282193027394288,35.52780458,33.9012114,6.399216420106812,-1.9043027771337224,-1.9423846596717498,2.0955341854907514,0.14505202540468784,1.3391373849195853,1.3391373849195853,-0.30353476615803043,0.6018705575913463,1,1.8554733808556354,1,0.0031351418026851793,0,32.367155726737984,0,0.30145738657441523,1,0.8958748221906117,1
455,0.6931471805599453,0.6931471805599453,3.6874284018466215,35.53202504,33.89360389,5.551554312927266,0.8457654036941855,0.8984387234806168,0.8984387234806168,0.6642154960566865,5.3198346689772364,5.3198346689772364,0.16183552800492754,0.6107796923500984,1,1.0788994783549997,0,0.010222383759032198,0,83.71129121233834,1,-0.00023422582258403324,0,0.8893314366998579,1
