contamination,use_pca,use_fa,lof_neighbors,if_estimators,if_max_features,use_ae,use_ocsvm,use_copula,use_hdbscan,hdb_min_cluster,stage,silhouette,dunn,dbi,score,time_sec,rho_bootstrap,jacc_topk,rho_seed,rho_noise,out_dir
0.07,0,0,20,300,0.6,0,1,1,1,10,1,0.4466966652203007,0.04389654217276798,2.147374249355562,0.5275808413091747,12.93,0.9798086288974074,0.783491895701198,0.9990293130102667,0.970719956260921,data\tuning_runs_asha\stage1_wide\e32393518b
0.05,0,1,30,400,0.6,0,0,0,0,5,1,0.4655305097717679,0.02431234858753655,2.2285757504665162,0.5260339821666231,9.75,0.9930249002886562,0.8869252873563218,0.9983024587543384,0.7990048245498734,data\tuning_runs_asha\stage1_wide\96dc4e9a57
0.04,0,0,10,100,1.0,0,0,0,0,5,1,0.49244088124335544,0.051525369914469696,2.155714223462793,0.5219767629150364,10.1,0.9703776092206319,0.688055544877134,0.9680413974113067,0.9914945920833409,data\tuning_runs_asha\stage1_wide\1286baed3b
0.07,1,0,20,400,0.8,1,0,1,0,5,1,0.42912003342964183,0.038310204839555065,1.7518118336588642,0.5177023078256537,54.11,0.9694085714632383,0.6795948616600791,0.9738506128285976,0.9876185741644758,data\tuning_runs_asha\stage1_wide\418198285b
0.07,0,0,30,200,0.8,1,1,1,1,30,1,0.44047290883540685,0.04653608156687289,2.2811787171373163,0.5098710155921639,53.93,0.9898688484111313,0.783491895701198,0.9968884457408718,0.9878570728375913,data\tuning_runs_asha\stage1_wide\e514ca3d81
0.02,0,1,20,100,0.6,1,0,1,1,10,1,0.49280746127445324,0.043709595976753605,1.8795542172535988,0.4916492939176136,40.51,0.949784096472449,0.4235294117647059,0.9758427409676037,0.7702939087653601,data\tuning_runs_asha\stage1_wide\2bdbf3d54c
0.07,1,0,20,300,0.6,1,0,0,0,5,1,0.4184920018578625,0.038310204839555065,1.7850366301879956,0.486604145758264,53.74,0.9556632014715735,0.61322695035461,0.9595773620736231,0.9786714919668836,data\tuning_runs_asha\stage1_wide\e109dfa42a
0.07,0,0,10,100,0.8,0,0,1,1,30,1,0.43683004060465475,0.02191969415389566,2.49195721880495,0.47556531698487525,9.33,0.9859781004481727,0.814444276653579,0.997544396652831,0.9825593144309579,data\tuning_runs_asha\stage1_wide\233a817b6c
0.05,0,0,10,400,1.0,1,1,1,0,5,1,0.45357034631414594,0.021215705950494775,2.427922415079583,0.47313074986111664,56.88,0.9843973827084007,0.7126423149905123,0.9960799957621566,0.9857341626503866,data\tuning_runs_asha\stage1_wide\18bc74fce4
0.07,0,1,10,200,0.8,0,0,0,1,20,1,0.4170815002279482,0.028432611536462607,2.368366270089008,0.4699800765007116,6.53,0.9820995438227986,0.8261904761904761,0.9983195963254882,0.8659386756161052,data\tuning_runs_asha\stage1_wide\c54b0da2cf
0.07,1,0,10,100,0.6,1,1,0,0,5,1,0.41092903849295853,0.02687508119925931,1.9486846241794136,0.4698748679229101,48.58,0.957617708165717,0.609102800694746,0.9655957862850779,0.9806798104178364,data\tuning_runs_asha\stage1_wide\1b306ca6c5
0.05,0,1,20,400,0.6,0,1,0,1,5,1,0.4500506308090458,0.03967227886052811,2.458943966182213,0.4633209173760149,11.08,0.9597259761690504,0.6784313725490196,0.9989105809890347,0.8575837724003995,data\tuning_runs_asha\stage1_wide\e1a9d970ef
0.03,0,1,10,300,0.8,1,1,1,1,30,1,0.46097508740328214,0.03967227886052811,2.198312011830464,0.4610482834010442,48.26,0.9732248625127975,0.48917748917748916,0.9848238661664154,0.8471961991207514,data\tuning_runs_asha\stage1_wide\2e6e12d4e1
0.04,0,1,10,200,1.0,0,0,1,0,5,1,0.461411726175197,0.02390834707839845,2.3339073716669234,0.4591328416052346,6.96,0.972247164627125,0.743076923076923,0.9977080108600762,0.7057824202849677,data\tuning_runs_asha\stage1_wide\494721b6ce
0.03,0,1,50,300,0.6,1,0,1,0,5,1,0.47638818927060333,0.011136813177157699,2.001043842416907,0.44393081268071255,43.48,0.963598811027457,0.378129117259552,0.973830349936542,0.7412414194310746,data\tuning_runs_asha\stage1_wide\3dad5a9108
0.07,0,1,50,300,1.0,1,0,0,1,5,1,0.41225519639975555,0.028432611536462607,2.1454326594758033,0.43348992363028666,50.27,0.9345369959569605,0.5698936170212766,0.964522363101364,0.7927719649116285,data\tuning_runs_asha\stage1_wide\fbf740f563
0.04,0,1,30,100,0.6,1,1,1,0,5,1,0.4469915243237168,0.035619569364172626,2.6487045326560295,0.4276545257191863,44.58,0.9705121295189538,0.6026518181690597,0.9779291866180762,0.8062013998201708,data\tuning_runs_asha\stage1_wide\fc83a0e85c
0.07,0,1,30,100,0.8,1,1,0,1,20,1,0.40826320486086226,0.023387294260622193,2.618899875782205,0.42400067578581385,44.63,0.9770866508684588,0.659950277520814,0.9801737563629459,0.8965800185405135,data\tuning_runs_asha\stage1_wide\93fbe3a83c
0.05,0,1,20,100,0.8,1,0,0,0,5,1,0.39143140831898404,0.02571018061438337,2.9306329333019048,0.3457346159947567,46.57,0.959298009694622,0.5146198830409356,0.9546271845883324,0.7823216507643364,data\tuning_runs_asha\stage1_wide\e797ac6de5
0.05,0,1,10,300,1.0,1,1,0,0,5,1,0.3919662683558741,0.023387294260622193,3.2779099076069724,0.3226440501702533,48.17,0.96654863028271,0.5808393532851738,0.968269834143759,0.8433073254732633,data\tuning_runs_asha\stage1_wide\3c3f218c4b
