fid,nb_floor,nb_appart,Total Electricity Consumption (kwH),lat,long,Area in m^2,year_norm_z,kwh_residual,kwh_resid_abs,kwh_per_m2,kwh_per_appt,kwh_per_floor,resid_per_m2,if_score,is_anomaly_if,lof_score,is_anomaly_lof,ppca_mah_score,is_anomaly_ppca_mah,hdbscan_score,is_anomaly_hdbscan,fused_rank,is_anomaly_fused
1556,1.6094379124341005,2.3978952727983707,3.3574544587142365,35.47371407,33.8977792299999,5.685823658909505,-0.0156274398299077,-0.5646732704237172,0.5646732704237172,0.5904957065372951,1.4001672620155965,2.086103746392087,-0.09931248387186474,0.4572021609262409,0,1.0182622986606933,0,88.57964620009643,0,0.03749039531672059,0,0.5318181818181819,0
1113,1.0986122886681098,2.19722457733622,2.856527675833441,35.5235246,33.8837922499999,5.114239855830967,0.4071381378692232,-0.3806652437426705,0.3806652437426705,0.5585439393454708,1.300061771244394,2.6001235424887885,-0.07443241898571838,0.42402001527096944,0,1.1364527796831638,0,8.351267973391106,0,0.1310151900039297,0,0.5318181818181819,0
1584,2.4849066497880004,3.1354942159291497,4.844092593805325,35.50944596,33.8843832199999,5.504100833294306,2.6127944772341927,0.18110656941988346,0.18110656941988346,0.8800879090919644,1.544921553098723,1.9494062661141005,0.03290393379502966,0.42480814682763524,0,1.1029849399254708,0,6.6536310582153595,0,0.18385741813633583,0,0.529971590909091,0
1439,1.6094379124341005,1.6094379124341005,3.3415535287346403,35.5315186999999,33.8948153899999,4.5472914876845,0.8457654036941855,0.48373069603108876,0.48373069603108876,0.7348448054813775,2.0762239431037774,2.0762239431037774,0.10637776296971155,0.43158459726544923,0,1.061370585152813,0,8.361064871652596,0,0.1720301743560065,0,0.5295454545454545,0
412,1.9459101490553128,2.3978952727983707,2.426924367249653,35.52825485,33.8925123699999,4.630516149235018,0.8457654036941855,-0.9904914575597767,0.9904914575597767,0.5241153014120449,1.0121060726798985,1.2471924093863531,-0.21390519450480922,0.4421840632025156,0,1.0604787709336458,0,10.397949919756678,0,0.1153279636828336,0,0.5292613636363636,0
970,1.9459101490553128,2.19722457733622,2.7419361971013405,35.5279819599999,33.89673607,4.861646942133634,1.300626634375449,-0.7825478583674181,0.7825478583674181,0.5639932783555824,1.2479089417548275,1.4090764665739972,-0.16096353101773797,0.45671512334268227,0,1.0761128382529757,0,8.314577467599928,0,0.09682028913526021,0,0.5291193181818181,0
550,2.19722457733622,2.833213344056216,3.5707994993814465,35.4796587499999,33.89656514,5.451956225387272,0.8457654036941855,-0.6902738635137933,0.6902738635137933,0.6549574779698089,1.260335550399905,1.6251408873782325,-0.12661030921332472,0.43756596346094595,0,1.066719064653214,0,66.3770609732927,0,0.030419231217471664,0,0.5288352272727272,0
570,1.3862943611198906,1.9459101490553128,3.838699341009303,35.4831107199999,33.89685077,5.364614075390814,-0.4228999466420856,0.4526694871589849,0.4526694871589849,0.7155592717505318,1.9727012282005358,2.769036251368927,0.08438062473785829,0.4460763897032828,0,1.0236745933419873,0,67.07822164090139,0,0.0644285264522425,0,0.5284090909090908,0
1605,1.791759469228055,2.3978952727983707,3.760432379198837,35.51594235,33.87679646,5.301579333210272,-0.0156274398299077,0.03394817436629216,0.03394817436629216,0.7093041795380958,1.568222107886459,2.09873727125826,0.006403407783343587,0.44674644428899185,0,1.0466324762015438,0,6.86348362819692,0,0.17647327160697304,0,0.5282670454545455,0
778,1.3862943611198906,1.3862943611198906,3.174923937339018,35.5172405699999,33.8775554699999,5.492365708686069,-0.4228999466420856,-0.08668951073358899,0.08668951073358899,0.5780612773686825,2.2902235097993318,2.2902235097993318,-0.01578363774948402,0.44921715572910254,0,1.0788392915921705,0,8.503835548887508,0,0.10129488083927181,0,0.5278409090909091,0
923,1.9459101490553128,2.5649493574615367,4.596058803119629,35.5133255499999,33.89181107,6.314801879548081,0.4071381378692232,-0.02920905655637185,0.02920905655637185,0.7278231195193959,1.7918711688203575,2.3619070003570783,-0.004625490571758396,0.41280184272860637,0,1.099139965495139,0,7.9138925948647705,0,0.2014665016163686,0,0.5276988636363636,0
1110,1.9459101490553128,2.5649493574615367,4.243741101869539,35.5165130099999,33.87555519,6.025357110076596,0.4071381378692232,-0.17178983746573984,0.17178983746573984,0.7043136239630435,1.6545126279099163,2.180851517697136,-0.028511146198860898,0.46102909329901803,0,1.0682818149292062,0,8.440752623821812,0,0.09363879282520794,0,0.5275568181818181,0
1187,1.3862943611198906,1.0986122886681098,1.8271266130653463,35.5267588399999,33.88492127,5.074917640223811,-0.0156274398299077,-1.0525401185762444,1.0525401185762444,0.36003079115679354,1.6631223152259134,1.3179932518728115,-0.20740043350335552,0.4375480195487892,0,1.0423242394917112,0,12.034348156425718,0,0.14185029802152535,0,0.5259943181818182,0
1303,2.079441541679836,2.772588722239781,4.686611914575326,35.52521686,33.89539031,6.2610213800277545,1.534262320439429,-0.10734141395844699,0.10734141395844699,0.7485379189927874,1.6903379419322382,2.2537839225763174,-0.017144393453256527,0.4613392601217326,0,1.1724638599902417,0,8.04449967397043,0,0.01108462647257722,0,0.5252840909090909,0
635,1.6094379124341005,1.6094379124341005,2.89314568477889,35.5109383799999,33.8804604299999,4.492753925354104,-0.0156274398299077,0.1184882935898397,0.1184882935898397,0.6439581897534844,1.7976124847235149,1.7976124847235149,0.0263731990575248,0.44234514835163313,0,1.0868615624520592,0,8.128268390236958,0,0.11004025818929339,0,0.5249999999999999,0
1711,2.302585092994046,2.833213344056216,5.1665729477628535,35.5173939299999,33.89292081,6.363169140228805,1.300626634375449,0.21215161916038294,0.21215161916038294,0.8119496486584161,1.82357356130691,2.2438141215640246,0.0333405594736013,0.42377894215986567,0,1.1024911315271508,0,6.29694449525329,0,0.187804891140441,0,0.5227272727272727,0
52,1.791759469228055,2.3978952727983707,3.351586881108817,35.48682809,33.90057731,5.482784138700446,-0.0156274398299077,-0.5050977520980893,0.5050977520980893,0.6112928753571585,1.3977202920949412,1.8705562541565826,-0.09212431847039847,0.4397355780072856,0,1.0149151051518133,0,60.121230991414066,0,0.098583128576936,0,0.521875,0
326,1.0986122886681098,1.3862943611198906,2.268614573422892,35.5253497799999,33.8911122499999,5.751472230388765,-1.9043027771337224,-0.8553566074700885,0.8553566074700885,0.39444067232670055,1.6364594973828188,2.064981974826826,-0.1487195926897958,0.42501275693747187,0,1.0920366100664025,0,9.260265035818314,0,0.13933286078181162,0,0.5214488636363636,0
1299,1.6094379124341005,2.19722457733622,3.682710464968405,35.5264500799999,33.8950473399999,4.669109176177269,-0.5421152053812623,0.6007265833795001,0.6007265833795001,0.7887394203070538,1.6760737627617004,2.288196665753141,0.12865978513514476,0.42549821426977275,0,1.090745700897586,0,12.20807752199415,0,0.11100470304797887,0,0.5211647727272728,0
